Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency Aug 685,06/08/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£26,331"
Transparency Aug 686,16/08/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£26,269"
Transparency Aug 687,09/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£26,237"
Transparency Aug 688,20/08/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VYSIION LTD,"£26,051"
Transparency Aug 689,18/08/2021,DIG INTEGRATION PLATFORMS MESSAGING NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£26,041"
Transparency Aug 690,09/08/2021,OPS WDC WSD NW MERSEYSIDE BUSINESS DEVELOPMENT TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,NEW BUSINESS DEVELOPMENT CLUB CIC CE3 ENTERPRISES CIC,"£25,950"
Transparency Aug 691,05/08/2021,DIG - TOOLING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,NETWORKOLOGY,"£25,944"
Transparency Aug 692,17/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£25,925"
Transparency Aug 693,16/08/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,COGNIZANT WORLDWIDE LTD,"£25,924"
Transparency Aug 694,12/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,BUILDING SKILLS & GROWTH CAPACITY,"£25,881"
Transparency Aug 695,11/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£25,744"
Transparency Aug 696,03/08/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,"£25,668"
Transparency Aug 697,02/08/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£25,601"
Transparency Aug 698,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,BOOSTING SKILLS FOR BUSINESS,"£25,536"
Transparency Aug 699,06/08/2021,WWEG CEP IPES CPA 5 LONDON AND THE HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£25,529"
Transparency Aug 700,04/08/2021,FG CHES DAC,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£25,436"
Transparency Aug 701,18/08/2021,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£25,354"
Transparency Aug 702,04/08/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,MDSEC CONSULTING LTD,"£25,200"
Transparency Aug 703,11/08/2021,DIG - WAN REFRESH DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£25,200"
Transparency Aug 704,05/08/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£25,200"
Transparency Aug 705,05/08/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£25,170"
Transparency Aug 706,02/08/2021,STR LM & COND,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,KANTAR UK,"£25,000"
