Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Jun. Transparency 628,03/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,31S20P03455/CL/21Q01/03,LUTON DIGITAL SKILLS & EMPLOYMENT PROJECT - ESF,"£28,343"
Jun. Transparency 629,25/06/2021,OPS WDC WSD LN SOUTH LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000073,STEP AHEAD SOCIAL ENTERPRISE CIC,"£28,280"
Jun. Transparency 630,23/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S19L02200/CL/21Q01/16,CLLD SOUTH LEEDS,"£28,237"
Jun. Transparency 631,15/06/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509346,ACCENTURE UK LTD,"£28,199"
Jun. Transparency 632,07/06/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139497,CAPITA BUSINESS SERVICES LTD,"£28,111"
Jun. Transparency 633,29/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,28S20P03513/CL/21Q01/02,TENANTS FIRST,"£28,045"
Jun. Transparency 634,14/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,TCM6947,MCBAINS LTD,"£28,025"
Jun. Transparency 635,30/06/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X146738,KNOWLEDGE POOL LTD,"£27,600"
Jun. Transparency 636,24/06/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140113,REED IN PARTNERSHIP LTD,"£27,594"
Jun. Transparency 637,15/06/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - VOCA CHARGES,219990000082082,VOCALINK,"£27,500"
Jun. Transparency 638,04/06/2021,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3980043218AT,COMPUTACENTER UK LTD,"£27,488"
Jun. Transparency 639,30/06/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,6103442A,HEWLETT PACKARD LTD,"£27,469"
Jun. Transparency 640,24/06/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140172,CAPITA BUSINESS SERVICES LTD,"£27,371"
Jun. Transparency 641,14/06/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CW101-0000745883,COGNIZANT WORLDWIDE LTD,"£27,360"
Jun. Transparency 642,25/06/2021,DIG MAINTENANCE - WORKING AGE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ARBK/00008511,ADVANCED 365 LTD,"£27,225"
Jun. Transparency 643,25/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,129917,WATES CONSTRUCTION LTD,"£27,156"
Jun. Transparency 644,14/06/2021,CHG INTEGRATED SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,1011268663,JAMES HARVARD LTD,"£27,131"
Jun. Transparency 645,21/06/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV026268,KAINOS SOFTWARE LTD,"£27,020"
Jun. Transparency 646,17/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,91231209 and 91230831,DENTONS UK & MIDDLE EAST LLP,"£26,986"
Jun. Transparency 647,08/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S18P02684/CL/21Q01/11,DEVELOPING RESTORATIVELDSHIP IN ED & HEALTH,"£26,778"
Jun. Transparency 648,07/06/2021,WWEG WP FG CEP ESF1420 MARCHES MD,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139456,REED IN PARTNERSHIP LTD,"£26,604"
Jun. Transparency 649,25/06/2021,CHG INTEGRATED SERVICE,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - DESKTOPS,5584363739,ATOS IT SERVICES UK LTD,"£26,546"
Jun. Transparency 650,14/06/2021,OPS WDC WSD NW MERSEYSIDE BUSINESS DEVELOPMENT TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000285,PATHWAYS TO WORK LTD,"£26,320"
Jun. Transparency 651,18/06/2021,DIG DIGITAL UC LONDON DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,C52502,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£26,269"
Jun. Transparency 652,02/06/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,31171,VYSIION LTD,"£26,051"
Jun. Transparency 653,14/06/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,31516,VYSIION LTD,"£26,051"
Jun. Transparency 654,07/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780122297,COMPUTACENTER UK LTD,"£25,944"
Jun. Transparency 655,22/06/2021,FG CHES DAC,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5584359340,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£25,436"
Jun. Transparency 656,22/06/2021,FG CHES DAC,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5584362674,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£25,436"
Jun. Transparency 657,22/06/2021,FG CHES DAC,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5584363633,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£25,436"
Jun. Transparency 658,24/06/2021,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI222008101,TATA CONSULTANCY SERVICES LTD,"£25,342"
Jun. Transparency 659,07/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,9900600408,SODEXO LTD,"£25,235"
Jun. Transparency 660,09/06/2021,PO PERMANENT SECRETARY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,90736005,THE BIG WORD,"£25,228"
Jun. Transparency 661,17/06/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139913,CAPITA BUSINESS SERVICES LTD,"£25,152"
Jun. Transparency 662,08/06/2021,OPS WDC WSD SE BERKSHIRE SURREY AND SUSSEX DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,100243493,CHICHESTER DISTRICT COUNCIL,"£25,008"
Jun. Transparency 663,25/06/2021,FG FIN CONT,Exp - Purchase Of Goods/Services - Consultancy,3158680,CIPFA,"£25,000"
