Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
May.Tranparency 631,20/05/2021,OPS WDC WSD LN BEXLEYHEATH JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,397,WALLACE SCHOOL OF TRANSPORT LTD,"£30,000"
May.Tranparency 632,10/05/2021,DIG PLATFORMS FRAUD & ERROR REFRESH SPEND,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV2021-0024,DEMARQ,"£30,000"
May.Tranparency 633,10/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,TCM6527,MCBAINS LTD,"£30,000"
May.Tranparency 634,11/05/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X146017,KNOWLEDGE POOL LTD,"£30,000"
May.Tranparency 635,18/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,39S16C00947/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£29,799"
May.Tranparency 636,20/05/2021,STR WORK & HEALTH JOINT UNIT,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,IN00244422,WORCESTERSHIRE COUNTY COUNCIL,"£29,718"
May.Tranparency 637,28/05/2021,DIG SDX REFRESH,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3883054675,COMPUTACENTER UK LTD,"£29,668"
May.Tranparency 638,10/05/2021,FG FIN CONT REPORTING & PRODUCTION TEAM,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,INVUK00032929,QLIKTECH UK LTD,"£29,304"
May.Tranparency 639,28/05/2021,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI222003589,TATA CONSULTANCY SERVICES LTD,"£29,008"
May.Tranparency 640,28/05/2021,FG FIN CONT SHARED SERVICES CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100023557,SHARED SERVICES CONNECTED LTD,"£28,904"
May.Tranparency 641,13/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,10S17P01928/CL/20Q04/21,COMESFM3,"£28,856"
May.Tranparency 642,25/05/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900597637,SODEXO LTD,"£28,834"
May.Tranparency 643,12/05/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CW101-0000721746,COGNIZANT WORLDWIDE LTD,"£28,800"
May.Tranparency 644,06/05/2021,CMG OPS NSP 2012 SCHEME APM,EXP - WRITE OFF - BAD DEBTS (NON-RINGFENCED) - CLIENT FUND,40521,CM 2012 CLIENT FUNDS,"£28,762"
May.Tranparency 645,18/05/2021,DIG APPLICATION DATA PLATFORMS EAS,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,3009,SITEKIT SYSTEMS LTD,"£28,750"
May.Tranparency 646,24/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900593066,SODEXO LTD,"£28,726"
May.Tranparency 647,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,31S17C01917/CL/20Q04/28,THE BIG LOTTERY FUND,"£28,586"
May.Tranparency 648,14/05/2021,HR EYECARE,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,INVO/00058115,SPECSAVERS CORPORATE EYECARE,"£28,139"
May.Tranparency 649,17/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,TCM6884,MCBAINS LTD,"£28,025"
May.Tranparency 650,11/05/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564030,BT GLOBAL SERVICE SOLUTIONS,"£27,807"
May.Tranparency 651,26/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S19P03050/CL/21Q01/06,MAKE A CHANGE,"£27,627"
May.Tranparency 652,04/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804211088,IBM UK LTD,"£27,518"
May.Tranparency 653,14/05/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - VOCA CHARGES,219990000060634,VOCALINK,"£27,500"
May.Tranparency 654,19/05/2021,OPS WDC WSD LN KENNINGTON PARK JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000043,GREEN SKILLS PARTNERSHIP CIC,"£27,300"
May.Tranparency 655,11/05/2021,OPS WDC WSD LN STOCKWELL JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000044,GREEN SKILLS PARTNERSHIP CIC,"£27,300"
May.Tranparency 656,25/05/2021,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,101428,PCI PAL,"£27,300"
May.Tranparency 657,25/05/2021,DIG MAINTENANCE - WORKING AGE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ARBK/00008454,ADVANCED 365 LTD,"£27,225"
May.Tranparency 658,26/05/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,730825729,AMAZON WEB SERVICES EMEA SARL,"£27,204"
May.Tranparency 659,07/05/2021,DIG HEALTH & DISABILITY - INITIATIVES DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210728,IBM UNITED KINGDOM LTD,"£27,126"
May.Tranparency 660,26/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01582-1,ISG FIT OUT LTD,"£27,091"
May.Tranparency 661,14/05/2021,OPS CFC SOC INVESTIGATIONS,EXP - RENTALS UNDER NON-PFI OP LEASES - P&M - VEHICLES,3702689,KINTO U K,"£26,943"
May.Tranparency 662,28/05/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110274272,CAPGEMINI UK PLC,"£26,855"
May.Tranparency 663,06/05/2021,DIG DATA CENTRE OPERATIONS DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,11380,CROWN HOSTING DATA CENTRES LTD,"£26,782"
May.Tranparency 664,24/05/2021,DIG DIGITAL ENVIRONMENTS DIGITAL HUBS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507258,ACCENTURE UK LTD,"£26,702"
May.Tranparency 665,07/05/2021,WWEG WP FG CEP ESF1420 MARCHES MD,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,138553,REED IN PARTNERSHIP LTD,"£26,604"
May.Tranparency 666,12/05/2021,DIG CUSTOMER NOTIFICATIONS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CW101-0000721747,COGNIZANT WORLDWIDE LTD,"£26,280"
May.Tranparency 667,07/05/2021,OPS WDC WSD LN CROYDON JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,00372,WALLACE SCHOOL OF TRANSPORT LTD,"£26,000"
May.Tranparency 668,10/05/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001315,REDESMERE LTD,"£25,920"
May.Tranparency 669,06/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,TCM6747,MCBAINS LTD,"£25,920"
May.Tranparency 670,18/05/2021,DIG CUSTOMER NOTIFICATIONS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,9002400905,OPEN TEXT UK LTD,"£25,893"
May.Tranparency 671,13/05/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,100660,PAM GROUP,"£25,761"
May.Tranparency 672,18/05/2021,DIG CROSS DWP DATA GOV POLICY & IMPLEMENTATION,Exp - Purchase Of Goods/Services - Consultancy,INV006360,CREDERA LTD,"£25,575"
May.Tranparency 673,11/05/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564578,BT GLOBAL SERVICE SOLUTIONS,"£25,413"
May.Tranparency 674,25/05/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,491042,GOVERNMENT LEGAL DEPARTMENT,"£25,374"
May.Tranparency 675,20/05/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210551,IBM UNITED KINGDOM LTD,"£25,363"
May.Tranparency 676,12/05/2021,STR WORK & HEALTH JOINT UNIT,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,8100130674,CORNWALL COUNCIL,"£25,308"
May.Tranparency 677,21/05/2021,CHG PEOPLE & LOCATIONS PROGRAMME TEAM DELP,EXP - PURCHASE OF GOODS/SERVICES - AUDIT SERVICES,EN002-0393954,JONES LANG LASALLE LTD,"£25,200"
May.Tranparency 678,12/05/2021,OPS WDC WSD KICKSTART,EXP - CURRENT GRANTS - NPISH - KICK START - SERVICE FEES,KICK5044853B,"EAST MIDLANDS CHAMBER (DERBYSHIRE,NOTTINGHAMSHIRE,LEICESTERSHIRE)","£25,200"
May.Tranparency 679,20/05/2021,HR EYECARE,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,INVO/00058267,SPECSAVERS CORPORATE EYECARE,"£25,041"
May.Tranparency 680,17/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,106431,AHR ARCHITECTS LTD,"£25,002"
