Indentifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Apr. Transparency 625,27/04/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,561057,BT GLOBAL SERVICES,"£47,099"
Apr. Transparency 626,07/04/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001305,REDESMERE LTD,"£46,877"
Apr. Transparency 627,27/04/2021,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-1533,HIPPO DIGITAL LTD,"£46,500"
Apr. Transparency 628,27/04/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,540123,HIGHSPEED OFFICE LTD,"£46,190"
Apr. Transparency 629,06/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,38S17P01990/CL/20Q02/11-03,WORCESTERSHIRE APPRENTICESHIP HUB & CLEARING HOUSE,"£46,162"
Apr. Transparency 630,27/04/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2600110270254,CAPGEMINI UK PLC,"£45,950"
Apr. Transparency 631,07/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110271245,CAPGEMINI UK PLC,"£45,614"
Apr. Transparency 632,08/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,LAR2183,MCBAINS LTD,"£45,608"
Apr. Transparency 633,19/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,92260756,MITIE PROPERTY SERVICES UK LTD,"£45,418"
Apr. Transparency 634,26/04/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504221A,ACCENTURE UK LTD,"£45,416"
Apr. Transparency 635,07/04/2021,FG CFO CENTRAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CIVILSERVICELIVECONT,CABINET OFFICE SSCL ACCOUNTS RECEIVABLE,"£45,161"
Apr. Transparency 636,01/04/2021,CHG UC PROGRAMME NON-STRAND,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RES'H/EVAL,21000715,IPSOS MORI,"£44,500"
Apr. Transparency 637,26/04/2021,DIG TRANSFORMATION ECSS CP AND IDV - DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504227A,ACCENTURE UK LTD,"£44,500"
Apr. Transparency 638,14/04/2021,STR WORK & HEALTH INNOVATION FUND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,2729051,OFFICE FOR NATIONAL STATISTICS,"£44,348"
Apr. Transparency 639,15/04/2021,OPS WDC WSD SE BERKSHIRE SURREY AND SUSSEX DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,6314986,REIGATE & BANSTEAD BOROUGH COUNCIL,"£44,212"
Apr. Transparency 640,22/04/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,146502850,WORLDPAY,"£43,880"
Apr. Transparency 641,22/04/2021,DIG INTELLIGENT AUTOMATION GARAGE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,GB-PSI-263876,SOFTWAREONE UK LTD,"£43,829"
Apr. Transparency 642,14/04/2021,OPS PEN PS NEWCASTLE PC INTERNATIONAL GROUP,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,668619,THE BIG WORD,"£43,611"
Apr. Transparency 643,30/04/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB046-180002105,WILLIAMS LEA CCM LTD,"£43,346"
Apr. Transparency 644,09/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CIN8667,SPELLER METCALFE MALVERN LTD,"£43,325"
Apr. Transparency 645,26/04/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504215,ACCENTURE UK LTD,"£43,304"
Apr. Transparency 646,27/04/2021,DIG DYNAMIC TRUST HUB,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504218,ACCENTURE UK LTD,"£43,098"
Apr. Transparency 647,22/04/2021,DIG DESKTOP BRIGHT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,6100898A,ENTSERV UK LTD,"£42,949"
Apr. Transparency 648,16/04/2021,CMG OPS EXTERNAL CONTRACTS/SLAS HARPER MACLEOD,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,224856,HARPER MACLEOD LLP,"£42,718"
Apr. Transparency 649,22/04/2021,DIG TRANSFORMATION TRANSITIONAL HOSTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001319,REDESMERE LTD,"£42,634"
Apr. Transparency 650,22/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210430,INSTANT MANAGED OFFICES,"£42,566"
Apr. Transparency 651,08/04/2021,STR WORK & HEALTH JOINT UNIT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,21000765,IPSOS MORI,"£42,053"
Apr. Transparency 652,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S16P00836/CL/20Q04/22,PATHWAYS TO SUCCESS 0042 ESF 2014 2020,"£42,013"
Apr. Transparency 653,27/04/2021,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,30008858,INDESSER,"£42,008"
Apr. Transparency 654,01/04/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110271506,CAPGEMINI UK PLC,"£41,969"
Apr. Transparency 655,26/04/2021,EP CEP PHASE 2 NEA NB CPA03 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138092,STANDGUIDE LTD,"£41,961"
Apr. Transparency 656,06/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S17P02242/CL/20Q04/15-03,CIOS TA INTERMEDIATE BODY ESF,"£41,870"
Apr. Transparency 657,27/04/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2600110271001,CAPGEMINI UK PLC,"£41,825"
Apr. Transparency 658,23/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,2021/04SCOTB,SCOTTISH WATER BUSINESS STREAM LTD,"£41,598"
Apr. Transparency 659,14/04/2021,DIG - SDX DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,148210168854,EQUINIX UK LTD,"£41,386"
Apr. Transparency 660,26/04/2021,DIG MOBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMMarch21na,ROYAL MAIL GROUP PLC,"£41,095"
Apr. Transparency 661,27/04/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2600110273347,CAPGEMINI UK PLC,"£40,810"
Apr. Transparency 662,01/04/2021,DIG HARDWARE ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3882979977,COMPUTACENTER UK LTD,"£40,710"
Apr. Transparency 663,26/04/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504211,ACCENTURE UK LTD,"£40,558"
Apr. Transparency 664,20/04/2021,OPS WDC WSD LN NORTH LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000000001,XITENYS LTD,"£40,000"
Apr. Transparency 665,07/04/2021,OPS WDC WSD NE NORTHUMBRIA TYNE AND WEAR DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000056112,NORTH EAST AUTISM SOCIETY,"£39,767"
Apr. Transparency 666,19/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210321,IBM UK LTD,"£39,745"
Apr. Transparency 667,26/04/2021,WWEG CEP IPES CPA 4 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138127,FEDCAP EMPLOYMENT,"£39,652"
Apr. Transparency 668,27/04/2021,DIG APPLICATION DATA PLATFORMS EAS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000003006,SITEKIT SYSTEMS LTD,"£39,600"
Apr. Transparency 669,12/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,30S17C00929/CL/20Q02/26,DEPARTMENT FOR WORK & PENSIONS,"£39,564"
Apr. Transparency 671,09/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S19P03004/CL/20Q04/07,DIGITAL SKILLS FOR GROWTH,"£39,339"
Apr. Transparency 672,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S19P03219/CL/20Q02/05,WOMEN FIRST,"£38,912"
Apr. Transparency 673,06/04/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-NZTN-5I,UBDS IT CONSULTING LTD,"£38,141"
Apr. Transparency 674,07/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,CSI01554-1,ISG FIT OUT LTD,"£38,118"
Apr. Transparency 675,23/04/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING APPS DEV,5804210724,IBM UNITED KINGDOM LTD,"£37,938"
Apr. Transparency 676,14/04/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,6004053636,KNOWLEDGE POOL LTD,"£37,722"
Apr. Transparency 677,16/04/2021,FG CD ACC POSTAGE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7295626,UK MAIL,"£37,649"
Apr. Transparency 678,15/04/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-7103,AGILE SOLUTIONS GB LTD,"£37,588"
Apr. Transparency 679,14/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PS6018-303126,RESPOND GROUP LTD TRADING AS APTEAN,"£37,440"
Apr. Transparency 680,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S19P03219/CL/20Q03/06,WOMEN FIRST,"£37,218"
Apr. Transparency 681,09/04/2021,DIG DESKTOP BRIGHT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,6100899,ENTSERV UK LTD,"£37,082"
Apr. Transparency 682,27/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CIN8688,SPELLER METCALFE MALVERN LTD,"£36,943"
Apr. Transparency 683,30/04/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138317,PEOPLEPLUS LTD,"£36,914"
Apr. Transparency 684,15/04/2021,DIG PLATFORMS DEBT MGT REFRESH SPEND,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-0465,ARUM SYSTEMS LTD,"£36,800"
Apr. Transparency 686,27/04/2021,HR OVERHEADS,CA - DEPOSITS AND ADVANCES - CYCLE TO WORK SCHEME,13128,EDENRED UK GROUP LTD,"£36,591"
Apr. Transparency 687,21/04/2021,FG FIN CONT ESF 2014-2020,EXP - CAPITAL GRANTS TO CENTRAL GOVERNMENT,1800023976,MINISTRY FOR HOUSING COMMUNITIES & LOCAL GOVERNMENT,"£36,364"
Apr. Transparency 688,19/04/2021,DIG CARERS POC - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,9002444460,OPEN TEXT UK LTD,"£36,225"
Apr. Transparency 689,12/04/2021,OPS DS ATW DISC EP LONDON & HOME COUNTIES,EXP - CURRENT GRANTS - NPISH - ACCESS TO WORK - SPECIAL AIDS,8815522,GUYS & ST THOMAS NHS FOUNDATION TRUST,"£36,120"
Apr. Transparency 690,01/04/2021,CHG ETSE R3,EXP - RENTALS UNDER NON-PFI OP LEASES - P&M - VEHICLES,3562217f,KINTO U K,"£35,894"
Apr. Transparency 691,01/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,1504423,OVERBURY PLC,"£35,727"
Apr. Transparency 692,14/04/2021,DIG EUC TECHNOLOGY SOLUTIONS CORE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G11-DSR-08,PIXEL GROUP LTD,"£35,650"
Apr. Transparency 693,19/04/2021,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CW101-0000702147,COGNIZANT WORLDWIDE LTD,"£35,640"
Apr. Transparency 694,14/04/2021,DIG DIGITAL ENVIRONMENTS DIGITAL HUBS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003502312,ACCENTURE UK LTD,"£35,457"
Apr. Transparency 695,22/04/2021,OPS WDC WSD NW CHESHIRE DO,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,22582,RESOLUTION INTERIORS LTD,"£35,360"
Apr. Transparency 696,27/04/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2600110270321,CAPGEMINI UK PLC,"£35,253"
Apr. Transparency 697,30/04/2021,DIG TRANSFORMATION TRANSITIONAL HOSTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,5269488,INSIGHT DIRECT UK LTD,"£35,147"
Apr. Transparency 698,26/04/2021,WWEG CEP IPES CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138076,REMPLOY LTD,"£34,885"
Apr. Transparency 699,23/04/2021,DIG HEALTH & WA BUSINESS SERVICES - PEOPLE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110274011,CAPGEMINI UK PLC,"£34,859"
Apr. Transparency 700,26/04/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882955362,COMPUTACENTER UK LTD,"£34,721"
Apr. Transparency 701,14/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QA-000003,QA LTD,"£34,531"
Apr. Transparency 702,16/04/2021,DIG HARDWARE ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3882986572,COMPUTACENTER UK LTD,"£34,517"
Apr. Transparency 703,06/04/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-412,CYBER SECURITY SPECIALISTS,"£34,500"
Apr. Transparency 704,07/04/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,10219,JUMAR TECHNOLOGY LTD,"£34,361"
Apr. Transparency 705,27/04/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584361470,ATOS ORIGIN IT SERVICES UK LTD,"£34,231"
Apr. Transparency 706,15/04/2021,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3980041944AT,COMPUTACENTER UK LTD,"£34,227"
Apr. Transparency 707,14/04/2021,DIG TECH SERVICES SERVICES IN LIEU,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,0000000799,CAVENDISH WOOD LTD,"£34,146"
Apr. Transparency 708,12/04/2021,FG FSC SIMPLE PAYMENTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SIMPLE PAYMENT SERVICE,IMVI0000000033,I MOVO LTD,"£34,145"
Apr. Transparency 709,30/04/2021,STR ACCESS TO WORK,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E03745,MANNING GOTTLIEB OMD,"£34,138"
Apr. Transparency 710,01/04/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-265,LAYER 7 IT SECURITY,"£34,000"
Apr. Transparency 711,19/04/2021,DIG HARDWARE ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,S-INV-022843A,CHAUCER GROUP LTD,"£33,810"
Apr. Transparency 712,06/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP/BEDIG/2103-3,DMSG LTD,"£33,600"
Apr. Transparency 713,26/04/2021,EP CEP PHASE 2 NEA NB CPA07 NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138118,GATESHEAD TRADING COMPANY,"£33,542"
Apr. Transparency 714,26/04/2021,DIG TECH PLATFORM CIS SEF,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504209,ACCENTURE UK LTD,"£33,270"
Apr. Transparency 715,27/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONFERENCING,003903031,MEETINGZONE LTD,"£33,249"
Apr. Transparency 716,01/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,197922,MANNING GOTTLIEB OMD,"£33,152"
Apr. Transparency 717,07/04/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,UKN1221051603,TATA CONSULTANCY SERVICES LTD,"£32,928"
Apr. Transparency 718,16/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,107218,AHR ARCHITECTS LTD,"£32,706"
Apr. Transparency 719,20/04/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-000822,INVOTRA LTD,"£32,705"
Apr. Transparency 720,07/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,956716672,BRITISH GAS BUSINESS SCC UTILITIES ONLY,"£32,528"
Apr. Transparency 721,19/04/2021,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,00022467,NCC GROUP SECURITY SERVICES LTD,"£32,417"
Apr. Transparency 722,08/04/2021,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI221054000,TATA CONSULTANCY SERVICES LTD,"£32,321"
Apr. Transparency 723,07/04/2021,DIG INFRASTRUCTURE TOOLING RUN,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,NKY_INV-5432,NETWORKOLOGY,"£32,307"
Apr. Transparency 724,14/04/2021,OPS WDC WSD SE BERKSHIRE SURREY AND SUSSEX DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,10276262,CRAWLEY BOROUGH COUNCIL,"£32,300"
Apr. Transparency 725,23/04/2021,DIG CUSTOMER NOTIFICATIONS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210722,IBM UNITED KINGDOM LTD,"£32,171"
Apr. Transparency 726,16/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1243,SCRUMCONNECT LTD,"£32,070"
Apr. Transparency 727,27/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,INV02893095,SOFTCAT PLC,"£31,805"
Apr. Transparency 728,26/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,30S17C00929/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£31,791"
Apr. Transparency 729,19/04/2021,DIG CUSTOMER NOTIFICATIONS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CW101-0000702149,COGNIZANT WORLDWIDE LTD,"£31,626"
Apr. Transparency 731,21/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,INV22580,RESOLUTION INTERIORS LTD,"£31,522"
Apr. Transparency 732,20/04/2021,FG CD ESTATES TOM DEL A,Exp - Purchase Of Goods/Services - Consultancy,21010016,ATKINS LTD,"£31,508"
Apr. Transparency 734,27/04/2021,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273977,CAPGEMINI UK PLC,"£31,493"
Apr. Transparency 735,22/04/2021,OPS WDC WSD NE SOUTH YORKSHIRE DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000001351,STANDGUIDE LTD,"£31,431"
Apr. Transparency 736,16/04/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97611868,VODAFONE LTD,"£31,380"
Apr. Transparency 737,19/04/2021,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CW101-0000702148,COGNIZANT WORLDWIDE LTD,"£31,305"
Apr. Transparency 738,30/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,TCM6876,MCBAINS LTD,"£31,243"
Apr. Transparency 739,07/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REPROGRAPHICS,3804553,CABINET OFFICE,"£31,207"
Apr. Transparency 740,28/04/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210975,IBM UK LTD,"£31,114"
Apr. Transparency 741,28/04/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210976,IBM UK LTD,"£31,008"
Apr. Transparency 742,12/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S16C00949/CL/20Q02/26,DEPARTMENT FOR WORK & PENSIONS,"£30,916"
Apr. Transparency 743,12/04/2021,CMG OPS NSP 2012 SCHEME APM,EXP - WRITE OFF - BAD DEBTS (NON-RINGFENCED) - CLIENT FUND,070421A,CM 2012 CLIENT FUNDS,"£30,816"
Apr. Transparency 744,07/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110271198,CAPGEMINI UK PLC,"£30,802"
Apr. Transparency 745,23/04/2021,CHG INTEGRATED SERVICE,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2790293,XEROX UK LTD,"£30,794"
Apr. Transparency 746,26/04/2021,DIG INTELLIGENT AUTOMATION GARAGE SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504266,ACCENTURE UK LTD,"£30,715"
Apr. Transparency 747,28/04/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210980,IBM UNITED KINGDOM LTD,"£30,642"
Apr. Transparency 748,23/04/2021,"DIG DCS, AXON & EDC DEPLOYMENT",EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-7104,AGILE SOLUTIONS GB LTD,"£30,640"
Apr. Transparency 749,23/04/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,101336,PCI PAL,"£30,589"
Apr. Transparency 750,07/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882973014,COMPUTACENTER UK LTD,"£30,554"
Apr. Transparency 751,01/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882974874,COMPUTACENTER UK LTD,"£30,554"
Apr. Transparency 752,07/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882974875,COMPUTACENTER UK LTD,"£30,554"
Apr. Transparency 753,01/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882976990,COMPUTACENTER UK LTD,"£30,554"
Apr. Transparency 754,01/04/2021,DIG SDX REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,1301,REDESMERE LTD,"£30,456"
Apr. Transparency 755,08/04/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900590079,SODEXO LTD,"£30,438"
Apr. Transparency 756,28/04/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INVUK00032655,QLIKTECH UK LTD,"£30,400"
Apr. Transparency 757,01/04/2021,P&C OD EMPLOYEE EXPERIENCE & STRATEGY,Exp - Purchase Of Goods/Services - Consultancy,3804783,CABINET OFFICE,"£30,291"
